Name,Land,ICB_Supersector_INDM3
INTESA SANPAOLO,Italien,Banks
SIKA,Schweiz,Construction & Materials
LONDON STOCK EXCHANGE,Großbritannien,Financial Services
Industria de Diseno Textil SA,Spanien,Retail
Kering,Frankreich,Consumer Products & Services
UNICREDIT,Italien,Banks
ALCON,Schweiz,Health Care
ANGLO AMERICAN,Großbritannien,Basic Resources
STELLANTIS,Italien,Automobiles & Parts
CRH,Irland,Construction & Materials
PRUDENTIAL,Großbritannien,Insurance
NORDEA BANK,Finnland,Banks
BMW,Deutschland,Automobiles & Parts
LLOYDS BANKING GRP,Großbritannien,Banks
DANONE,Frankreich,Food Beverage & Tobacco
ATLAS COPCO A,Schweden,Industrial Goods & Services
BAE SYSTEMS,Großbritannien,Industrial Goods & Services
INVESTOR B,Schweden,Financial Services
FERRARI,Italien,Automobiles & Parts
FLUTTER ENTERTAINMENT,Irland,Travel & Leisure
DEUTSCHE BOERSE,Deutschland,Financial Services
DSV,Dänemark,Industrial Goods & Services
EXPERIAN,Großbritannien,Industrial Goods & Services
Holcim,Schweiz,Construction & Materials
ENI,Italien,Energy
AMADEUS IT GROUP,Spanien,Technology
CAP GEMINI,Frankreich,Technology
STMICROELECTRONICS,Italien,Technology
WOLTERS KLUWER,Niederlande,Media
AHOLD DELHAIZE,Niederlande,Personal Care Drug & Grocery Stores
VOLVO B,Schweden,Industrial Goods & Services
DASSAULT SYSTEMS,Frankreich,Technology
EQUINOR,Norwegen,Energy
ADIDAS,Deutschland,Consumer Products & Services
SAINT GOBAIN,Frankreich,Construction & Materials
ASHTEAD GRP,Großbritannien,Industrial Goods & Services
RWE,Deutschland,Utilities
BARCLAYS,Großbritannien,Banks
ENGIE,Frankreich,Utilities
VOLKSWAGEN PREF,Deutschland,Automobiles & Parts
VESTAS WIND SYSTEMS,Dänemark,Energy
SWISS REINSURANCE COMPANY,Schweiz,Insurance
HEINEKEN,Niederlande,Food Beverage & Tobacco
LEGRAND,Frankreich,Industrial Goods & Services
GIVAUDAN,Schweiz,Chemicals
EVOLUTION,Schweden,Travel & Leisure
SCOTTISH & SOUTHERN ENERGY,Großbritannien,Utilities
GENMAB,Dänemark,Health Care
E.ON,Deutschland,Utilities
HEXAGON B,Schweden,Technology
3I GROUP PLC.,Großbritannien,Financial Services
TESCO,Großbritannien,Personal Care Drug & Grocery Stores
HALEON,Großbritannien,Health Care
MERCK,Deutschland,Health Care
ASSA ABLOY,Schweden,Construction & Materials
ORANGE,Frankreich,Telecommunications
ASSICURAZIONI GENERALI,Italien,Insurance
NOKIA,Finnland,Telecommunications
TELEFONICA,Spanien,Telecommunications
SAMPO,Finnland,Insurance
CELLNEX TELECOM,Spanien,Telecommunications
PARTNERS GRP HLDG,Schweiz,Financial Services
VODAFONE GRP,Großbritannien,Telecommunications
ARGENX,Belgien,Health Care
SANDVIK,Schweden,Industrial Goods & Services
KONE B,Finnland,Industrial Goods & Services
VEOLIA ENVIRONNEMENT,Frankreich,Utilities
MICHELIN,Frankreich,Automobiles & Parts
DEUTSCHE BANK,Deutschland,Banks
IMPERIAL BRANDS,Großbritannien,Food Beverage & Tobacco
STANDARD CHARTERED,Großbritannien,Banks
RENTOKIL INITIAL,Großbritannien,Industrial Goods & Services
GRP SOCIETE GENERALE,Frankreich,Banks
REPSOL,Spanien,Energy
SKANDINAVISKA ENSKILDA BK A,Schweden,Banks
ASM INTERNATIONAL,Niederlande,Technology
PUBLICIS GRP,Frankreich,Media
PHILIPS,Niederlande,Health Care
NESTE,Finnland,Energy
ORSTED,Dänemark,Utilities
DSM FIRMENICH AG,Niederlande,Food Beverage & Tobacco
SWISS LIFE HLDG,Schweiz,Insurance
GEBERIT,Schweiz,Construction & Materials
STRAUMANN,Schweiz,Health Care
NATWEST GROUP,Großbritannien,Banks
LEGAL & GENERAL GRP,Großbritannien,Insurance
UPM KYMMENE,Finnland,Basic Resources
KBC GRP,Belgien,Banks
ERICSSON LM B,Schweden,Telecommunications
EDENRED,Frankreich,Industrial Goods & Services
DAIMLER TRUCK,Deutschland,Industrial Goods & Services
UMG,Niederlande,Media
FERROVIAL,Spanien,Construction & Materials
KUEHNE + NAGEL,Schweiz,Industrial Goods & Services
CAIXABANK,Spanien,Banks
DNB BANK,Norwegen,Banks
DANSKE BANK,Dänemark,Banks
Essity B,Schweden,Personal Care Drug & Grocery Stores
ROLLS ROYCE HLDG,Großbritannien,Industrial Goods & Services
SWEDBANK,Schweden,Banks
SIEMENS HEALTHINEERS,Deutschland,Health Care
SWISSCOM,Schweiz,Telecommunications
CARLSBERG B,Dänemark,Food Beverage & Tobacco
EQT,Schweden,Financial Services
THALES,Frankreich,Industrial Goods & Services
COLOPLAST B,Dänemark,Health Care
NIBE INDUSTRIER B,Schweden,Construction & Materials
CREDIT AGRICOLE,Frankreich,Banks
MONCLER,Italien,Consumer Products & Services
KERRY GRP,Irland,Food Beverage & Tobacco
SGS,Schweiz,Industrial Goods & Services
Vonovia SE,Deutschland,Real Estate
DR ING HC F PORSCHE PREF.,Deutschland,Automobiles & Parts
CNH Industrial NV,Italien,Industrial Goods & Services
AVIVA,Großbritannien,Insurance
SMITH & NEPHEW,Großbritannien,Health Care
SYMRISE,Deutschland,Chemicals
AKZO NOBEL,Niederlande,Chemicals
JULIUS BAER GRP,Schweiz,Financial Services
SONOVA,Schweiz,Health Care
SVENSKA HANDELSBANKEN A,Schweden,Banks
ARCELORMITTAL,Luxemburg,Basic Resources
EDP ENERGIAS DE PORTUGAL,Portugal,Utilities
MTU AERO ENGINES,Deutschland,Industrial Goods & Services
BUNZL,Großbritannien,Industrial Goods & Services
INFORMA,Großbritannien,Media
HENKEL PREF,Deutschland,Consumer Products & Services
BEIERSDORF,Deutschland,Personal Care Drug & Grocery Stores
INTERCONTINENTAL HOTELS GRP,Großbritannien,Travel & Leisure
HANNOVER RUECK,Deutschland,Insurance
TERNA,Italien,Utilities
RHEINMETALL,Deutschland,Industrial Goods & Services
BT GRP,Großbritannien,Telecommunications
BRENNTAG,Deutschland,Chemicals
EPIROC A,Schweden,Industrial Goods & Services
LINDT & SPRUENGLI P,Schweiz,Food Beverage & Tobacco
WPP,Großbritannien,Media
SIEMENS ENERGY,Deutschland,Energy
AENA SME,Spanien,Industrial Goods & Services
COMMERZBANK,Deutschland,Banks
SEGRO,Großbritannien,Real Estate
UCB,Belgien,Health Care
FRESENIUS,Deutschland,Health Care
HEIDELBERG MATERIALS,Deutschland,Construction & Materials
SAGE GRP,Großbritannien,Technology
HALMA,Großbritannien,Industrial Goods & Services
ERSTE GROUP BANK,Österreich,Banks
SNAM RETE GAS,Italien,Energy
BURBERRY,Großbritannien,Consumer Products & Services
KPN,Niederlande,Telecommunications
VAT GROUP AG,Schweiz,Industrial Goods & Services
BANK OF IRELAND GROUP,Irland,Banks
PRYSMIAN,Italien,Industrial Goods & Services
EIFFAGE,Frankreich,Construction & Materials
QIAGEN,Deutschland,Health Care
ALFA LAVAL,Schweden,Industrial Goods & Services
RYANAIR,Irland,Travel & Leisure
SPIRAX-SARCO,Großbritannien,Industrial Goods & Services
TELEPERFORMANCE,Frankreich,Industrial Goods & Services
NOVOZYMES,Dänemark,Health Care
CARREFOUR,Frankreich,Personal Care Drug & Grocery Stores
HEINEKEN HLDG,Niederlande,Food Beverage & Tobacco
KINGSPAN GRP,Irland,Construction & Materials
NEXT,Großbritannien,Retail
CRODA INTERNATIONAL,Großbritannien,Chemicals
SIG GROUP AG,Schweiz,Industrial Goods & Services
HENNES & MAURITZ B,Schweden,Retail
SMURFIT KAPPA GRP,Irland,Industrial Goods & Services
PORSCHE AUTOMOBIL HLDG PREF,Deutschland,Automobiles & Parts
SARTORIUS PREF.,Deutschland,Health Care
PKNORLEN,Polen,Energy
FRESENIUS MEDICAL CARE,Deutschland,Health Care
NN GROUP,Niederlande,Insurance
SODEXO,Frankreich,Travel & Leisure
SCHINDLER P,Schweiz,Industrial Goods & Services
NORSK HYDRO,Norwegen,Basic Resources
BOUYGUES,Frankreich,Construction & Materials
ENTAIN,Großbritannien,Travel & Leisure
LOGITECH INTERNATIONAL,Schweiz,Technology
INTERTEK GRP,Großbritannien,Industrial Goods & Services
UNITED UTILITIES GRP,Großbritannien,Utilities
EXOR NV,Niederlande,Financial Services
CENTRICA,Großbritannien,Utilities
WHITBREAD,Großbritannien,Travel & Leisure
WORLDLINE,Frankreich,Industrial Goods & Services
COVESTRO,Deutschland,Chemicals
SEVERN TRENT,Großbritannien,Utilities
MELROSE INDUSTRIES,Großbritannien,Industrial Goods & Services
BE SEMICONDUCTOR,Niederlande,Technology
EUROFINS SCIENTIFIC,Frankreich,Health Care
ASSOCIATED BRITISH FOODS,Großbritannien,Food Beverage & Tobacco
A.P.MOLLER-MAERSK B,Dänemark,Industrial Goods & Services
SWATCH BEARER,Schweiz,Consumer Products & Services
BOLIDEN,Schweden,Basic Resources
CONTINENTAL,Deutschland,Automobiles & Parts
FINECOBANK,Italien,Banks
IMCD,Niederlande,Chemicals
ELISA CORPORATION,Finnland,Telecommunications
ALSTOM,Frankreich,Industrial Goods & Services
RENAULT,Frankreich,Automobiles & Parts
SOLVAY,Belgien,Chemicals
TRYG,Dänemark,Insurance
AEGON,Niederlande,Insurance
BUREAU VERITAS,Frankreich,Industrial Goods & Services
MOWI,Norwegen,Food Beverage & Tobacco
STORA ENSO R,Finnland,Basic Resources
DELIVERY HERO,Deutschland,Consumer Products & Services
ST.JAMES'S PLACE CAPITAL,Großbritannien,Financial Services
METSO,Finnland,Industrial Goods & Services
ADMIRAL GRP,Großbritannien,Insurance
JERONIMO MARTINS,Portugal,Personal Care Drug & Grocery Stores
ANTOFAGASTA,Großbritannien,Basic Resources
CHR HANSEN HLDG,Dänemark,Health Care
SMITHS GRP,Großbritannien,Industrial Goods & Services
AUTO TRADER GROUP,Großbritannien,Technology
PEARSON,Großbritannien,Media
AKER BP,Norwegen,Energy
PANDORA,Dänemark,Consumer Products & Services
ACS,Spanien,Construction & Materials
PKO BANK,Polen,Banks
SVENSKA CELLULOSA B,Schweden,Basic Resources
GRP BRUXELLES LAMBERT,Belgien,Financial Services
DAVIDE CAMPARI,Italien,Food Beverage & Tobacco
RED ELECTRICA CORPORATION,Spanien,Utilities
SARTORIUS STEDIM BIOTECH,Frankreich,Health Care
ENDESA,Spanien,Utilities
AGEAS,Belgien,Insurance
MONDI,Großbritannien,Industrial Goods & Services
BALOISE,Schweiz,Insurance
BARRY CALLEBAUT,Schweiz,Food Beverage & Tobacco
ABN AMRO BANK,Niederlande,Banks
ZALANDO,Deutschland,Retail
TELENOR,Norwegen,Telecommunications
SWISS PRIME SITE,Schweiz,Real Estate
MEDIOBANCA,Italien,Financial Services
RANDSTAD,Niederlande,Industrial Goods & Services
GEA GRP,Deutschland,Industrial Goods & Services
BANCO BPM,Italien,Banks
ACCOR,Frankreich,Travel & Leisure
B&M EUROPEAN VALUE RETAIL,Großbritannien,Retail
TENARIS,Italien,Energy
INDUTRADE,Schweden,Industrial Goods & Services
BACHEM HOLDING,Schweiz,Health Care
VIVENDI,Frankreich,Media
ASR NEDERLAND NV,Niederlande,Insurance
SKF B,Schweden,Basic Resources
BCO SABADELL,Spanien,Banks
OMV,Österreich,Energy
COCA-COLA HBC,Großbritannien,Food Beverage & Tobacco
TRELLEBORG B,Schweden,Industrial Goods & Services
FORTUM,Finnland,Utilities
LUFTHANSA,Deutschland,Travel & Leisure
SAINSBURY (J),Großbritannien,Personal Care Drug & Grocery Stores
GEORG FISCHER,Schweiz,Industrial Goods & Services
WEIR GRP,Großbritannien,Industrial Goods & Services
PHOENIX GROUP HDG.,Großbritannien,Insurance
M&G,Großbritannien,Financial Services
DCC,Großbritannien,Industrial Goods & Services
REXEL,Frankreich,Industrial Goods & Services
EURONEXT,Frankreich,Financial Services
UMICORE,Belgien,Chemicals
KINGFISHER,Großbritannien,Retail
WARTSILA,Finnland,Industrial Goods & Services
YARA,Norwegen,Chemicals
SCHRODERS,Großbritannien,Financial Services
ADDTECH B,Schweden,Industrial Goods & Services
RIGHTMOVE GRP,Großbritannien,Real Estate
PZU GROUP,Polen,Insurance
TELIA COMPANY,Schweden,Telecommunications
BARRATT DEVELOPMENTS,Großbritannien,Consumer Products & Services
KESKO,Finnland,Personal Care Drug & Grocery Stores
GALP ENERGIA,Portugal,Energy
PUMA,Deutschland,Consumer Products & Services
ORKLA,Norwegen,Food Beverage & Tobacco
DINO POLSKA SA,Polen,Personal Care Drug & Grocery Stores
Getlink,Frankreich,Industrial Goods & Services
IMI,Großbritannien,Industrial Goods & Services
ABRDN,Großbritannien,Financial Services
ARKEMA,Frankreich,Chemicals
SKANSKA B,Schweden,Construction & Materials
BERKELEY GRP HLDG,Großbritannien,Consumer Products & Services
Naturgy Energy Group,Spanien,Utilities
DS SMITH,Großbritannien,Industrial Goods & Services
TEMENOS,Schweiz,Technology
EMS-CHEMIE HLDG,Schweiz,Chemicals
ADECCO,Schweiz,Industrial Goods & Services
NEXI SPA,Italien,Industrial Goods & Services
IAG,Großbritannien,Travel & Leisure
DECHRA PHARMACEUTICALS,Großbritannien,Health Care
INTERMEDIATE CAPITAL GRP,Großbritannien,Financial Services
PSP SWISS PROPERTY,Schweiz,Real Estate
VERBUND,Österreich,Utilities
UNIBAIL-RODAMCO-WESTFIELD,Frankreich,Real Estate
WISE A,Großbritannien,Industrial Goods & Services
SPECTRIS,Großbritannien,Industrial Goods & Services
GETINGE B,Schweden,Health Care
LAND SECURITIES,Großbritannien,Real Estate
TECAN,Schweiz,Health Care
GECINA,Frankreich,Real Estate
POSTE ITALIANE,Italien,Insurance
AIB GROUP,Irland,Banks
EDP RENOVAVEIS,Portugal,Utilities
HISCOX,Großbritannien,Insurance
AMPLIFON,Italien,Health Care
TAYLOR WIMPEY,Großbritannien,Consumer Products & Services
BELIMO HOLDING,Schweiz,Construction & Materials
VALEO,Frankreich,Automobiles & Parts
DIPLOMA,Großbritannien,Industrial Goods & Services
RECORDATI,Italien,Health Care
BEIJER REF AB,Schweden,Industrial Goods & Services
BOLLORE,Frankreich,Industrial Goods & Services
NEMETSCHEK,Deutschland,Technology
LIFCO B,Schweden,Industrial Goods & Services
BEAZLEY,Großbritannien,Insurance
HOWDEN JOINERY GRP,Großbritannien,Retail
BIOMERIEUX,Frankreich,Health Care
HELVETIA HLDG,Schweiz,Insurance
RS Group,Großbritannien,Industrial Goods & Services
ALTEN,Frankreich,Technology
PERSIMMON,Großbritannien,Consumer Products & Services
PEKAO,Polen,Banks
TELE2 B,Schweden,Telecommunications
Valmet,Finnland,Industrial Goods & Services
MARKS & SPENCER GRP,Großbritannien,Retail
JD SPORTS FASHION,Großbritannien,Retail
KNORR BREMSE,Deutschland,Industrial Goods & Services
SCOUT24,Deutschland,Technology
ENAGAS,Spanien,Energy
SPIE,Frankreich,Construction & Materials
KLEPIERRE,Frankreich,Real Estate
SSAB B,Schweden,Basic Resources
INTERPUMP GRP,Italien,Industrial Goods & Services
WDP,Belgien,Real Estate
LEONARDO,Italien,Industrial Goods & Services
LA FRANCAISE DES JEUX,Frankreich,Travel & Leisure
HUGO BOSS,Deutschland,Consumer Products & Services
INWIT,Italien,Telecommunications
ORION B,Finnland,Health Care
SAAB B,Schweden,Industrial Goods & Services
DUFRY GRP,Schweiz,Retail
GAMES WORKSHOP,Großbritannien,Consumer Products & Services
IPSEN,Frankreich,Health Care
CARL ZEISS MEDITEC,Deutschland,Health Care
LEG IMMOBILIEN,Deutschland,Real Estate
INDUSTRIVARDEN C,Schweden,Financial Services
ACCIONA S.A.,Spanien,Construction & Materials
CONVATEC PLC,Großbritannien,Health Care
DASSAULT AVIATION,Frankreich,Industrial Goods & Services
SOITEC,Frankreich,Technology
SIMCORP,Dänemark,Technology
SWEDISH ORPHAN BIOVITRUM,Schweden,Health Care
CASTELLUM,Schweden,Real Estate
AALBERTS,Niederlande,Industrial Goods & Services
ELIA GROUP,Belgien,Utilities
SAGAX 'B',Schweden,Real Estate
FORVIA,Frankreich,Automobiles & Parts
INCHCAPE,Großbritannien,Industrial Goods & Services
D'IETEREN GROUP,Belgien,Automobiles & Parts
RINGKJOBING LANDBOBANK,Dänemark,Banks
SECURITAS B,Schweden,Industrial Goods & Services
JOHNSON MATTHEY,Großbritannien,Chemicals
ANDRITZ,Österreich,Industrial Goods & Services
BANKINTER,Spanien,Banks
KONGSBERG GRUPPEN,Norwegen,Industrial Goods & Services
DEMANT,Dänemark,Health Care
CHRISTIAN DIOR,Frankreich,Consumer Products & Services
KGHM,Polen,Basic Resources
GALENICA SANTE AG,Schweiz,Personal Care Drug & Grocery Stores
VOESTALPINE,Österreich,Basic Resources
ROYAL UNIBREW,Dänemark,Food Beverage & Tobacco
BAWAG GROUP AG,Österreich,Banks
EVONIK INDUSTRIES,Deutschland,Chemicals
TOMRA SYSTEMS,Norwegen,Industrial Goods & Services
HIKMA PHARMACEUTICALS,Großbritannien,Health Care
TATE & LYLE,Großbritannien,Food Beverage & Tobacco
SCOR,Frankreich,Insurance
THYSSENKRUPP,Deutschland,Industrial Goods & Services
EURAZEO,Frankreich,Financial Services
JDE PEET S,Niederlande,Food Beverage & Tobacco
UNITE GROUP PLC,Großbritannien,Real Estate
FLUGHAFEN ZURICH,Schweiz,Industrial Goods & Services
BRITISH LAND COMPANY,Großbritannien,Real Estate
ACKERMANS & VAN HAAREN,Belgien,Construction & Materials
AIXTRON,Deutschland,Technology
AMUNDI,Frankreich,Financial Services
SIGNIFY,Niederlande,Construction & Materials
CTS EVENTIM,Deutschland,Media
HARGREAVES LANSDOWN,Großbritannien,Financial Services
LPP,Polen,Consumer Products & Services
IG GRP HLDG,Großbritannien,Financial Services
GRIFOLS,Spanien,Health Care
RATIONAL,Deutschland,Industrial Goods & Services
STOREBRAND,Norwegen,Insurance
JYSKE BANK,Dänemark,Banks
OCADO,Großbritannien,Personal Care Drug & Grocery Stores
ROTORK,Großbritannien,Industrial Goods & Services
MAN GRP,Großbritannien,Financial Services
SIEGFRIED 'R',Schweiz,Health Care
INVESTEC,Großbritannien,Banks
REMY COINTREAU,Frankreich,Food Beverage & Tobacco
GREGGS,Großbritannien,Personal Care Drug & Grocery Stores
HUSQVARNA B,Schweden,Consumer Products & Services
HELLOFRESH AG,Deutschland,Personal Care Drug & Grocery Stores
ADP,Frankreich,Industrial Goods & Services
TUI,Großbritannien,Travel & Leisure
EVOTEC,Deutschland,Health Care
KINNEVIK B,Schweden,Financial Services
ELIS,Frankreich,Industrial Goods & Services
AAK,Schweden,Food Beverage & Tobacco
BECHTLE,Deutschland,Technology
SOFINA,Belgien,Financial Services
BKW,Schweiz,Utilities
BELLWAY,Großbritannien,Consumer Products & Services
HUHTAMAKI,Finnland,Industrial Goods & Services
HOLMEN B,Schweden,Basic Resources
ALLEGRO.EU,Polen,Consumer Products & Services
BAKKAFROST,Norwegen,Food Beverage & Tobacco
GAZTRANSPORT ET TECHNIGAZ,Frankreich,Energy
CLARIANT,Schweiz,Chemicals
GERRESHEIMER,Deutschland,Health Care
TRITAX BIG BOX REIT,Großbritannien,Real Estate
ITV,Großbritannien,Media
K + S,Deutschland,Chemicals
WIENERBERGER,Österreich,Construction & Materials
SOPRA STERIA GROUP,Frankreich,Technology
LUNDBERGFORETAGEN B,Schweden,Financial Services
ARCADIS,Niederlande,Construction & Materials
BRUNELLO CUCINELLI,Italien,Consumer Products & Services
GJENSIDIGE FORSIKRING,Norwegen,Insurance
TALANX,Deutschland,Insurance
ELECTROLUX B,Schweden,Consumer Products & Services
SALMAR,Norwegen,Food Beverage & Tobacco
ISS AS,Dänemark,Industrial Goods & Services
OCI,Niederlande,Chemicals
INDIVIOR,Großbritannien,Health Care
BANQUE CANTONALE VAUDOISE,Schweiz,Banks
FORTNOX AB,Schweden,Technology
DRAX GRP,Großbritannien,Utilities
Technip Energies,Frankreich,Energy
BUCHER INDUSTRIES,Schweiz,Industrial Goods & Services
THULE GROUP,Schweden,Consumer Products & Services
LOTUS BAKERIES,Belgien,Food Beverage & Tobacco
FREENET,Deutschland,Telecommunications
LATOUR INVESTMENT B,Schweden,Industrial Goods & Services
ITALGAS,Italien,Utilities
VISTRY GROUP,Großbritannien,Consumer Products & Services
SEB,Frankreich,Consumer Products & Services
BRITVIC,Großbritannien,Food Beverage & Tobacco
WENDEL,Frankreich,Financial Services
ELEKTA B,Schweden,Health Care
MERLIN PROPERTIES SOCIMI,Spanien,Real Estate
HEXPOL 'B',Schweden,Basic Resources
LANXESS,Deutschland,Chemicals
GN STORE NORD,Dänemark,Health Care
VERALLIA,Frankreich,Industrial Goods & Services
AEDIFICA,Belgien,Real Estate
TELECOM ITALIA,Italien,Telecommunications
GLANBIA,Irland,Food Beverage & Tobacco
DIASORIN,Italien,Health Care
AURUBIS,Deutschland,Basic Resources
A2A,Italien,Utilities
ALLFUNDS GROUP,Niederlande,Financial Services
AMBU 'B',Dänemark,Health Care
TIETOEVRY,Finnland,Technology
SYDBANK,Dänemark,Banks
BPER Banca,Italien,Banks
JUST EAT TAKEAWAY.COM NV,Niederlande,Technology
OSB GROUP,Großbritannien,Financial Services
DERWENT LONDON,Großbritannien,Real Estate
REPLY,Italien,Technology
DKSH HOLDING,Schweiz,Industrial Goods & Services
UBISOFT ENTERTAINMENT,Frankreich,Consumer Products & Services
COFINIMMO,Belgien,Real Estate
ALLREAL HLDG,Schweiz,Real Estate
WACKER CHEMIE,Deutschland,Chemicals
AIR FRANCE-KLM,Frankreich,Travel & Leisure
BIG YELLOW GROUP,Großbritannien,Real Estate
FUCHS PETROLUB PREF,Deutschland,Chemicals
BALFOUR BEATTY,Großbritannien,Construction & Materials
VISCOFAN,Spanien,Food Beverage & Tobacco
LAGERCRANTZ GROUP 'B',Schweden,Technology
AVANZA BANK HLDG,Schweden,Banks
SECTRA 'B',Schweden,Health Care
KION GROUP,Deutschland,Industrial Goods & Services
DIRECT LINE INSURANCE GROUP,Großbritannien,Insurance
SAFESTORE HOLDINGS,Großbritannien,Real Estate
PENNON GRP,Großbritannien,Utilities
HERA,Italien,Utilities
RUBIS,Frankreich,Retail
SOFTCAT,Großbritannien,Technology
FASTIGHETS BALDER B,Schweden,Real Estate
SUBSEA7,Norwegen,Energy
TELEFONICA DEUTSCHLAND,Deutschland,Telecommunications
NEXANS,Frankreich,Industrial Goods & Services
AXFOOD,Schweden,Personal Care Drug & Grocery Stores
AZIMUT HLDG,Italien,Financial Services
BAVARIAN NORDIC,Dänemark,Health Care
VIDRALA,Spanien,Industrial Goods & Services
QINETIQ GRP,Großbritannien,Industrial Goods & Services
Virgin Money UK,Großbritannien,Banks
SWECO 'B',Schweden,Construction & Materials
CEMBRA MONEY BANK,Schweiz,Banks
TOPDANMARK,Dänemark,Insurance
COMPUTACENTER,Großbritannien,Technology
COVIVIO,Frankreich,Real Estate
MILLICOM INTL.CELU. SDR,Schweden,Telecommunications
VOLVO CAR B,Schweden,Automobiles & Parts
NORDIC SEMICONDUCTOR,Norwegen,Technology
AMS-OSRAM AG,Schweiz,Technology
ROCKWOOL B,Dänemark,Construction & Materials
DOWLAIS GROUP,Großbritannien,Automobiles & Parts
SERCO GRP,Großbritannien,Industrial Goods & Services
TRAVIS PERKINS,Großbritannien,Industrial Goods & Services
FRONTLINE,Norwegen,Industrial Goods & Services
HAYS,Großbritannien,Industrial Goods & Services
GRAFTON GRP,Großbritannien,Industrial Goods & Services
ENCAVIS,Deutschland,Utilities
LONDONMETRIC PROPERTY PLC,Großbritannien,Real Estate
GENUS,Großbritannien,Health Care
NEL,Norwegen,Energy
FABEGE,Schweden,Real Estate
KINDRED GROUP,Schweden,Travel & Leisure
KOJAMO OYJ,Finnland,Real Estate
INTERNATIONAL DISTRIBUTIONS SERVICES,Großbritannien,Industrial Goods & Services
WIHLBORGS FASTIGHETER,Schweden,Real Estate
WATCHES OF SWITZERLAND GROUP,Großbritannien,Consumer Products & Services
HARBOUR ENERGY,Großbritannien,Energy
NORDNET,Schweden,Financial Services
SES,Luxemburg,Telecommunications
CORPO. ACCIONA ENERG. RENOV.,Spanien,Utilities
ENERGEAN PLC,Großbritannien,Energy
LXI REIT PLC,Großbritannien,Real Estate
EMBRACER GROUP,Schweden,Consumer Products & Services
INMOBILIARIA COLONIAL SOCIMI,Spanien,Real Estate
CLOSE BROTHERS GRP,Großbritannien,Banks
BILLERUD,Schweden,Basic Resources
SINCH,Schweden,Technology
ALK-ABELLO B,Dänemark,Health Care
WALLENSTAM B,Schweden,Real Estate
HEXATRONIC GROUP,Schweden,Telecommunications
FUTURE,Großbritannien,Media
UNITED INTERNET,Deutschland,Technology
AROUNDTOWN (FRA),Deutschland,Real Estate
SAMHALLSBYGGNADSBOLAGET NORD,Schweden,Real Estate
